Substation,Feeder,Asset type,Asset ID,Amps A,Amps B,Amps C,% OL A,% OL B,% OL C,Rating A,Rating B,Rating C
tyn202,tyn202_sw,Line,tyn202_w_8_098_abc69904,598.3436945367777,314.63010318634366,448.560648885441,179.14481872358613,94.20062969651008,134.29959547468292,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_079_abc75650,503.6896188297931,263.1016475097074,408.83630066551405,150.80527509874045,78.7729483561998,122.40607804356709,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_078_abc75646,492.8222418194293,252.83188444216063,399.74292628726243,147.55156940701474,75.69816899465887,119.68351086444984,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_077_abc29637,458.22602448851524,218.3175514142469,319.84174521520254,137.1934205055435,65.36453635157093,95.76100156143788,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_267_abc29636,451.01971580133375,211.4189749829917,295.6692936924303,135.03584305429155,63.29909430628494,88.52374062647613,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_076_abc29641,429.42871067754373,207.9701689672666,235.3891892311735,128.57147026273765,62.266517654870235,70.47580515903398,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_075_abc29647,429.4294319097959,194.17590843408806,235.38958327853123,128.5716862005377,58.13649953116409,70.4759231372848,334,334,334
tyn202,tyn202_sw,Line,tyn202_x_2_402_abc1151551,203.79318919206503,20.699935384099383,133.31979263313247,125.79826493337347,12.777737891419372,82.29616829205708,162,162,162
tyn202,tyn202_sw,Line,tyn202_x_2_132_abc53793,203.79330644902902,20.70002861633594,133.31986003580758,125.79833731421543,12.777795442182677,82.29620989864665,162,162,162
tyn202,tyn202_sw,Line,tyn202_x_2_187_abc53797,200.25972309256522,17.248483426418947,121.36439562959322,123.61711302010198,10.647211991616635,74.91629359851433,162,162,162
tyn202,tyn202_sw,Line,tyn202_x_2_016_ac29657,154.65688845773548,0,36.00093343727427,138.08650755154954,0,32.143690568994884,112,0,112
tyn202,tyn202_sw,Line,tyn202_x_2_017_ac29658,140.38122599552085,0,32.996559461093746,125.34038035314362,0,29.461213804547988,112,0,112
tyn202,tyn202_sw,Line,tyn202_x_2_018_ac64745,140.38140678203655,0,32.996989490666,125.34054176967548,0,29.461597759523215,112,0,112
tyn202,tyn202_sw,Line,tyn202_x_2_019_ac41220,140.38157888445062,0,17.994137223752766,125.3406954325452,0,16.066193949779255,112,0,112
tyn202,tyn202_sw,Line,tyn202_x_2_020_a41221,136.83166489778205,0,0,122.17112937301968,0,0,112,0,0
tyn202,tyn202_sw,Line,tyn202_x_2_021_a64748,119.11254792821725,0,0,106.35048922162255,0,0,112,0,0
tyn202,tyn202_sw,Line,tyn202_x_2_022_a64749,115.574104098275,0,0,103.19116437345983,0,0,112,0,0
tyn202,tyn202_sw,Transformer,sub_tyn202_rb,0,1917.179552908839,0,0,125.48811619039672,0,0,1527.7777777777778,0
tyn202,tyn202_sw,Transformer,sub_tyn202_rc,0,0,2031.644758210629,0,0,132.98038417378663,0,0,1527.7777777777778
