"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
3671, 2122.33834232694, 658.22441102617, 3318.2544453335, 3661.2341360252, 36.909966556254, 106.466044533315, 96.7095654363939
3672, 1805.01900790155, 429.841643455116, 3318.2544453335, 3661.2341360252, 26.0875334107188, 74.7423741843009, 96.7095654363939
3673, 1613.58918548755, 299.028452752524, 3318.2544453335, 3661.2341360252, 20.7805192551714, 59.2105995993931, 96.7095654363939
3674, 1492.88766350047, 220.271630383089, 3318.2544453335, 3661.2341360252, 17.8773309600668, 50.7178014620177, 96.7095654363939
3675, 1443.0119194495, 185.622795849155, 3318.2544453335, 3661.2341360252, 16.7142590812557, 47.3105882378865, 96.7095654363939
3676, 1428.05362661839, 175.25532037663, 3318.2544453335, 3661.2341360252, 16.3763207163881, 46.3207514308354, 96.7095654363939
3677, 1451.29276687933, 191.368739217728, 3318.2544453335, 3661.2341360252, 16.9033263331911, 47.8641897773072, 96.7095654363939
3678, 1578.25755110593, 279.869603562201, 3318.2544453335, 3661.2341360252, 19.9979563529089, 56.9305780500819, 96.7095654363939
3679, 1849.98099743665, 472.122999638577, 3318.2544453335, 3661.2341360252, 27.8476650008641, 79.9349393499066, 96.7095654363939
3680, 2115.47017894288, 663.789968053522, 3318.2544453335, 3661.2341360252, 37.1626236505317, 107.245411048773, 96.7095654363939
3681, 2225.4779263742, 741.33619152782, 3318.2544453335, 3661.2341360252, 41.2874663548664, 119.331720156877, 96.7095654363939
3682, 2297.46397000382, 789.624721375334, 3318.2544453335, 3661.2341360252, 43.9895343191272, 127.226786167605, 96.7095654363939
3683, 2357.38420130018, 833.939935633584, 3318.2544453335, 3661.2341360252, 46.5477409300287, 134.7289533723, 96.7095654363939
3684, 2376.63473387192, 848.220382506076, 3318.2544453335, 3661.2341360252, 47.3872442930999, 137.191195159991, 96.7095654363939
3685, 2349.00833834618, 827.734650988644, 3318.2544453335, 3661.2341360252, 46.1854053506901, 133.666474536284, 96.7095654363939
3686, 2347.0193880777, 826.260467363329, 3318.2544453335, 3661.2341360252, 46.0994539740472, 133.414303082128, 96.7095654363939
3687, 2324.10416522113, 809.30053460608, 3318.2544453335, 3661.2341360252, 45.1174768491179, 130.534548568913, 96.7095654363939
3688, 2317.53298044829, 804.439342355649, 3318.2544453335, 3661.2341360252, 44.8371587936486, 129.711893409177, 96.7095654363939
3689, 2316.74570512417, 803.856609738893, 3318.2544453335, 3661.2341360252, 44.8034687224446, 129.612912205376, 96.7095654363939
3690, 2340.37682936925, 821.335755143514, 3318.2544453335, 3661.2341360252, 45.8120321539181, 132.570504989399, 96.7095654363939
3691, 2351.38752500804, 829.494466904744, 3318.2544453335, 3661.2341360252, 46.287613520586, 133.9658465705, 96.7095654363939
3692, 2319.7377688143, 806.0692925104, 3318.2544453335, 3661.2341360252, 44.9306980208992, 129.986190121288, 96.7095654363939
3693, 2427.59201612986, 886.128773708188, 3318.2544453335, 3661.2341360252, 49.6542102125154, 143.841496070736, 96.7095654363939
3694, 2450.27945230234, 899.985192228396, 3318.2544453335, 3661.2341360252, 50.5584930186071, 146.495043061141, 96.7095654363939
3695, 2141.40835555911, 672.122363949408, 3318.2544453335, 3661.2341360252, 37.6344135656336, 108.590156334459, 96.7095654363939
3696, 1810.20598492012, 433.532025357099, 3318.2544453335, 3661.2341360252, 26.2459228552939, 75.206533877745, 96.7095654363939
3697, 1603.98114655356, 292.288762304346, 3318.2544453335, 3661.2341360252, 20.528253411643, 58.4714172489084, 96.7095654363939
3698, 1492.88740056052, 220.271455249746, 3318.2544453335, 3661.2341360252, 17.8773246613457, 50.7177829498215, 96.7095654363939
3699, 1438.09633632741, 182.215181543209, 3318.2544453335, 3661.2341360252, 16.6026267864801, 46.983582191594, 96.7095654363939
3700, 1414.07022901712, 165.574032985973, 3318.2544453335, 3661.2341360252, 16.0648986523118, 45.4085922256842, 96.7095654363939
3701, 1440.46732700677, 183.862137515701, 3318.2544453335, 3661.2341360252, 16.656169503616, 47.1401514644132, 96.7095654363939
3702, 1558.8194058327, 266.265447394619, 3318.2544453335, 3661.2341360252, 19.5007049284339, 55.4736780900828, 96.7095654363939
3703, 1817.67522185334, 449.060376680849, 3318.2544453335, 3661.2341360252, 26.8259138825903, 76.9400391180868, 96.7095654363939
3704, 2095.43902473945, 649.193997494511, 3318.2544453335, 3661.2341360252, 36.4022387212289, 105.015585637189, 96.7095654363939
3705, 2205.41814252665, 726.607059688266, 3318.2544453335, 3661.2341360252, 40.4783835985617, 116.958501665705, 96.7095654363939
3706, 2300.93610204524, 792.187996584732, 3318.2544453335, 3661.2341360252, 44.1354746598229, 127.654838937918, 96.7095654363939
3707, 2316.37696555747, 803.582320112956, 3318.2544453335, 3661.2341360252, 44.7870771177396, 129.564398633064, 96.7095654363939
3708, 2337.41881099133, 819.14627892529, 3318.2544453335, 3661.2341360252, 45.6850396306514, 132.198077472834, 96.7095654363939
3709, 2325.01781975074, 809.97468752447, 3318.2544453335, 3661.2341360252, 45.1559428861272, 130.647076047066, 96.7095654363939
3710, 2321.9713511956, 807.720443134733, 3318.2544453335, 3661.2341360252, 45.0257127209649, 130.264844276324, 96.7095654363939
3711, 2313.08566526266, 801.152299423916, 3318.2544453335, 3661.2341360252, 44.6486329477774, 129.15898538352, 96.7095654363939
3712, 2336.65606443476, 818.581310782084, 3318.2544453335, 3661.2341360252, 45.6521813544253, 132.10163503872, 96.7095654363939
3713, 2329.69032631456, 813.430676119004, 3318.2544453335, 3661.2341360252, 45.3552078237018, 131.231400439134, 96.7095654363939
3714, 2339.24161428527, 820.497791181066, 3318.2544453335, 3661.2341360252, 45.7638875218407, 132.429683966987, 96.7095654363939
3715, 2307.08821410545, 796.720994066124, 3318.2544453335, 3661.2341360252, 44.3947550880053, 128.414223514769, 96.7095654363939
3716, 2286.38803064106, 781.442434361776, 3318.2544453335, 3661.2341360252, 43.5266463434562, 125.86848849318, 96.7095654363939
3717, 2406.23298913517, 870.221515517532, 3318.2544453335, 3661.2341360252, 48.6965305111907, 141.032002957231, 96.7095654363939
3718, 2458.97566529056, 906.477028770326, 3318.2544453335, 3661.2341360252, 50.9551620871069, 147.658738002721, 96.7095654363939
3719, 2146.61071340696, 675.917008257563, 3318.2544453335, 3661.2341360252, 37.8335196691734, 109.173966278269, 96.7095654363939
3720, 1832.43668438777, 449.363637163293, 3318.2544453335, 3661.2341360252, 26.9316597131811, 77.2161254790717, 96.7095654363939
3721, 1605.21269549878, 293.152383340266, 3318.2544453335, 3661.2341360252, 20.5604728952305, 58.5658252473789, 96.7095654363939
3722, 1503.46208885254, 227.633708021809, 3318.2544453335, 3661.2341360252, 18.1311074311099, 51.4612692192733, 96.7095654363939
